record,year,entry,range,plot,column,block,pblock,pop,entry99,dla1,dla2,dla3,logitdla1,logitdla2,logitdla3,dla1p,dla2p,dla3p,rowqlt,dta
1,1,175,1,8,1,1,6,6,175,NA,5,NA,NA,-1.278753601,NA,NA,0.05,NA,1,84
2,1,8,1,20,2,2,6,6,8,0,5,15,-2.298853076,-1.278753601,-0.753327667,0.005,0.05,0.15,1,86
3,1,23,1,23,3,3,6,6,23,NA,5,15,NA,-1.278753601,-0.753327667,NA,0.05,0.15,1,86
4,1,105,1,80,8,2,16,16,105,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,84
5,1,12,1,82,9,2,16,16,12,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,1,79
6,1,146,2,17,2,2,6,6,146,20,15,20,-0.602059991,-0.753327667,-0.602059991,0.2,0.15,0.2,1,82
7,1,113,2,21,3,2,6,6,113,1,15,15,-1.995635195,-0.753327667,-0.753327667,0.01,0.15,0.15,1,80
8,1,135,2,31,4,3,6,6,135,NA,20,25,NA,-0.602059991,-0.477121255,NA,0.2,0.25,1,87
9,1,82,2,85,9,2,16,16,82,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,1,82
10,1,9,3,3,1,6,6,6,9,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,1,82
11,1,25,3,25,3,4,6,6,25,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,1,86
12,1,124,3,26,3,4,6,6,124,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,1,81
13,1,116,3,62,7,3,17,17,116,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,1,77
14,1,121,3,94,10,4,16,16,121,1,5,5,-1.995635195,-1.278753601,-1.278753601,0.01,0.05,0.05,1,84
15,1,36,4,11,2,6,6,6,36,15,15,30,-0.753327667,-0.753327667,-0.367976785,0.15,0.15,0.3,1,87
16,1,63,4,13,2,5,6,6,63,NA,20,35,NA,-0.602059991,-0.268845312,NA,0.2,0.35,1,NA
17,1,46,4,16,2,5,6,6,46,20,30,45,-0.602059991,-0.367976785,-0.087150176,0.2,0.3,0.45,1,86
18,1,68,4,18,2,5,6,6,68,15,NA,35,-0.753327667,NA,-0.268845312,0.15,NA,0.35,1,86
19,1,17,4,19,2,5,6,6,17,10,5,25,-0.954242509,-1.278753601,-0.477121255,0.1,0.05,0.25,1,NA
20,1,60,4,20,2,5,6,6,60,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,1,81
21,1,152,4,27,3,4,6,6,152,NA,10,30,NA,-0.954242509,-0.367976785,NA,0.1,0.3,1,NA
22,1,93,4,51,6,2,17,17,93,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,1,77
