sample,pop,leaf_length,leaf_width,upper_leaf_angle,leaf_angle_boxcox_transformed
Z001E0001,1,850.6304,88.0488,65.3152,9620754.45
Z001E0002,1,654.2202,95.8449,59.8256,6659547.597
Z001E0003,1,836.4517,93.4534,66.1322,10135177.13
Z001E0004,1,595.5967,100.3453,66.3374,10267608.22
Z001E0005,1,822.9404,95.9405,76.4436,18600268.79
Z001E0006,1,762.2042,88.3843,60.7311,7092226.541
Z001E0007,1,705.0824,84.9141,70.3866,13161099.39
Z001E0008,1,606.4202,103.5548,64.4647,9106609.322
Z001E0009,1,659.3667,102.5242,62.807,8164846.058
Z001E0010,1,758.3539,92.3374,64.4355,9089337.072
Z001E0011,1,736.904,100.004,70.0135,12871232.18
Z001E0012,1,689.1841,93.8063,63.7935,8715845.968
Z001E0013,1,706.4738,93.3185,66.1624,10154585.4
Z001E0014,1,735.1018,94.8876,69.9828,12847599.22
Z001E0015,1,685.5286,104.5035,66.5445,10402597.22
Z001E0016,1,552.5178,106.1333,64.3172,9019615.873
Z001E0017,1,741.6761,112.5552,56.6523,5299834.985
Z001E0018,1,668.4011,89.642,68.9898,12100830.62
Z001E0019,1,863.0731,92.3096,69.9265,12804345.16
Z001E0020,1,674.5589,93.3282,73.2378,15543727.07
Z001E0021,1,721.9913,99.6871,63.8145,8727874.859
Z001E0022,1,717.9219,86.1276,65.7248,9876108.356
Z001E0023,1,766.2255,89.6248,67.8034,11252471.39
Z001E0024,1,702.7027,90.8813,66.9902,10697687.73
Z001E0025,1,614.4441,111.3848,66.6554,10475435.67
Z001E0027,1,704.0764,110.248,63.0273,8285524.286
Z001E0028,1,608.6621,97.1944,58.2343,5948176.411
Z001E0029,1,672.6687,95.479,58.6705,6137115.681
Z001E0030,1,627.3755,99.9312,64.2843,9000298.523
Z001E0031,1,783.6717,87.0358,68.5858,11806660.6
Z001E0032,1,796.3123,85.9792,67.7696,11228985.18
Z001E0033,1,746.1809,86.9821,64.1721,8934656.689
Z001E0034,1,771.3029,91.3478,69.0527,12147128.13
Z001E0036,1,811.9995,85.7497,64.803,9308546.407
Z001E0037,1,852.1117,97.2567,68.8928,12029697.31
Z001E0038,1,646.6836,96.7512,64.1409,8916468.288
Z001E0039,1,685.6902,91.8938,62.6127,8059525.223
Z001E0040,1,722.1942,80.0273,73.2618,15565082.26
Z001E0041,1,710.3705,99.9981,64.7425,9272185.018
Z001E0042,1,716.5522,90.6907,66.6012,10439789.09
Z001E0043,1,645.6979,95.2181,66.5154,10383548.54
Z001E0044,1,701.025,101.9478,68.2673,11578610.98
Z001E0045,1,785.3351,102.3051,62.8031,8162721.803
Z001E0046,1,790.9446,99.3548,67.4681,11021132.77
Z001E0047,1,630.1513,95.0843,71.4442,14009824.72
Z001E0048,1,714.7447,94.613,74.0781,16304826.86
Z001E0049,1,733.1424,103.6621,66.4598,10347226.99
Z001E0050,1,753.7448,89.6938,66.5493,10405741.82
Z001E0051,1,704.0107,100.29,69.0998,12181884.27
Z001E0052,1,742.9219,91.5381,69.541,12511144.79
Z001E0053,1,746.7781,87.5101,65.9811,10038495.29
Z001E0054,1,744.842,88.557,71.2898,13883391.62
Z001E0055,1,745.616,82.2535,68.0321,11412369.71
Z001E0056,1,763.1685,88.8574,66.7174,10516325.74
Z001E0057,1,717.8515,96.1543,63.5451,8574516.854
Z001E0058,1,637.6471,94.9233,66.6134,10447804.79
Z001E0059,1,654.5955,88.7428,69.7301,12654322.77
Z001E0060,1,743.5029,101.4707,69.1275,12202360.04
Z001E0061,1,730.7209,97.7572,60.994,7221766.934
Z001E0062,1,731.4561,92.1584,67.2928,10901636.46
Z001E0063,1,833.5422,97.8467,64.333,9028904.11
Z001E0064,1,546.9141,90.0431,53.2918,4101851.064
Z001E0065,1,627.8983,87.4799,66.1929,10174215.17
Z001E0066,1,654.5749,90.6338,58.1126,5896261.427
Z001E0067,1,729.6927,93.3687,65.4808,9723380.227
Z001E0068,1,774.7765,91.2069,64.249,8979607.05
Z001E0069,1,629.4148,100.294,62.4088,7950116.265
Z001E0070,1,799.5716,90.9945,70.1734,12994859.32
Z001E0071,1,742.9097,87.4447,66.8396,10597274.46
Z001E0072,1,664.4404,88.6836,52.9195,3983105.958
Z001E0073,1,646.9002,104.8461,63.121,8337261.83
Z001E0074,1,690.0936,92.7469,61.4874,7469738.298
Z001E0075,1,683.782,110.4693,63.1338,8344348.548
Z001E0076,1,752.6161,85.0485,66.788,10563035.52
Z001E0077,1,698.2741,101.6012,67.7258,11198605.93
Z001E0078,1,660.237,89.3643,68.5661,11792456.78
Z001E0079,1,701.9643,104.57,62.1047,7789047.083
Z001E0080,1,781.806,97.5558,66.4966,10371256.31
Z001E0081,1,657.0345,91.0668,59.5813,6546334.529
Z001E0082,1,690.3942,90.3828,60.317,6891781.19
Z001E0083,1,652.0876,82.7325,74.2811,16492873.5
Z001E0084,1,677.0988,86.2609,67.2174,10850543.24
Z001E0085,1,849.0592,91.3925,70.6674,13382514.56
Z001E0086,1,634.7096,99.226,68.3341,11626160.17
Z001E0087,1,691.8028,89.557,62.2264,7853205.394
Z001E0088,1,820.9612,98.1478,71.3195,13907644.23
Z001E0089,1,681.868,82.4664,63.6362,8626144.719
Z001E0090,1,726.4399,86.9528,68.3047,11605214.55
Z001E0091,1,792.2436,87.5297,64.7327,9266305.267
Z001E0092,1,695.304,86.7521,69.9382,12813324.88
Z001E0093,1,742.3825,89.576,69.3527,12369801.44
Z001E0094,1,642.7302,95.9762,61.4433,7447314.66
Z001E0095,1,621.3472,100.9499,56.965,5423498.103
Z001E0096,1,772.4638,85.6182,66.8913,10631664.43
Z001E0097,1,799.4556,94.816,72.1874,14630719.37
Z001E0098,1,702.2062,94.8868,69.5544,12521249.87
Z001E0099,1,669.0598,94.9686,67.458,11014220.98
Z001E0100,1,672.1818,82.3572,62.5695,8036249.783
Z001E0101,1,719.7124,92.0509,63.3891,8486655.815
Z001E0102,1,771.3384,89.3603,59.5047,6511140.305
Z001E0103,1,714.543,96.4185,54.668,4564342.531
Z001E0104,1,639.1643,101.0932,56.8543,5379471.242
Z001E0105,1,754.9297,98.0434,67.4176,10986606.81
Z001E0106,1,767.6416,100.2018,71.5311,14081368.71
Z001E0107,1,712.829,95.4432,61.6552,7555530.253
Z001E0108,1,702.6295,86.7439,71.166,13782644.94
Z001E0109,1,745.2416,94.1992,68.5636,11790655.19
Z001E0110,1,719.1422,94.6482,71.6624,14189994.09
Z001E0111,1,719.3266,88.7148,64.454,9100277.209
Z001E0112,1,623.7561,94.8788,64.6659,9226302.546
Z001E0113,1,641.9783,83.7509,69.9342,12810254.35
Z001E0114,1,772.5556,89.7357,67.5841,11100752.7
Z001E0115,1,750.542,94.1616,71.5339,14083678.55
Z001E0116,1,732.794,92.2995,62.388,7939019.274
Z001E0117,1,686.1512,91.2803,64.9026,9368643.832
Z001E0118,1,724.16,81.4624,64.4904,9121831.933
Z001E0119,1,794.5514,97.1374,73.2366,15542659.9
Z001E0120,1,724.264,100.3681,64.4801,9115728.718
Z001E0121,1,741.4379,89.0772,63.5913,8600669.663
Z001E0122,1,753.86,86.6884,59.1326,6342221.998
Z001E0123,1,675.0878,99.4768,70.8282,13510578.21
Z001E0124,1,687.7658,86.0291,63.3024,8438122.65
Z001E0125,1,741.2662,90.6935,65.6941,9856792.389
Z001E0126,1,659.0779,88.4086,64.0826,8882557.195
Z001E0127,1,669.1883,92.7358,63.0579,8302393.473
Z001E0128,1,717.9579,90.3254,58.103,5892180.974
Z001E0129,1,720.9614,92.2455,75.9629,18115048.23
Z001E0130,1,817.5965,93.9593,69.1676,12232048.27
Z001E0131,1,666.7339,89.1343,64.6907,9241138.479
Z001E0132,1,802.0353,87.361,67.8291,11270354.26
Z001E0133,1,667.9852,94.5149,64.0738,8877447.082
Z001E0134,1,686.8872,98.362,62.8416,8183710.45
Z001E0135,1,748.9137,87.8167,67.1994,10838372.92
Z001E0136,1,631.1604,86.404,69.2294,12277909.85
Z001E0137,1,829.3076,99.367,72.1506,14599491.38
Z001E0138,1,653.1687,94.5851,63.4632,8528303.906
Z001E0139,1,685.0286,100.3081,69.9256,12803654.61
Z001E0140,1,769.8119,98.6999,69.6095,12562866.66
Z001E0141,1,628.0119,83.1995,67.4199,10988177.49
Z001E0143,1,638.6195,104.9164,63.9535,8807813.694
Z001E0144,1,669.9399,92.7472,70.1239,12956492.07
Z001E0145,1,806.4788,91.5108,64.6532,9218712.137
Z001E0146,1,752.4444,112.0952,64.4596,9103590.793
Z001E0147,1,700.7473,87.4386,58.755,6174238.763
Z001E0148,1,637.7227,101.8275,59.5876,6549235.525
Z001E0149,1,635.8387,97.2871,69.7369,12659494.56
Z001E0150,1,717.4588,88.1452,66.2495,10210719.42
Z001E0151,1,743.6074,93.5614,62.3267,7906383.744
Z001E0152,1,784.7492,85.6084,50.029,3147777.678
Z001E0153,1,659.3517,91.2614,67.1689,10817774.72
Z001E0154,1,692.516,103.7231,66.5704,10419573.56
Z001E0156,1,763.6911,100.0597,74.4693,16668681.1
Z001E0157,1,714.8006,81.8783,67.5059,11047029.97
Z001E0158,1,718.0508,84.9227,72.1721,14617729.82
Z001E0159,1,700.398,89.0982,65.3265,9627730.961
Z001E0160,1,792.7863,97.2535,66.7731,10553164.38
Z001E0161,1,797.7877,82.5433,67.8257,11267987.19
Z001E0162,1,707.2138,88.2317,65.55,9766510.934
Z001E0163,1,674.8457,86.4979,67.951,11355471.05
Z001E0164,1,691.6724,92.877,59.0131,6288688.291
Z001E0165,1,631.3156,99.1287,66.1088,10120158.36
Z001E0166,1,640.5055,101.4901,67.069,10750515.81
Z001E0167,1,683.1372,92.9152,69.8832,12771154.22
Z001E0168,1,693.7406,98.3778,64.4882,9120528.073
Z001E0169,1,731.4528,89.1123,64.8188,9318060.291
Z001E0170,1,702.0546,109.1053,72.6604,15036646.22
Z001E0171,1,670.5802,90.5552,67.5672,11089125.74
Z001E0172,1,653.2075,94.8551,64.7645,9285394.806
Z001E0173,1,600.3399,91.8203,59.6136,6561218.247
Z001E0174,1,639.9446,102.7452,71.301,13892533.6
Z001E0175,1,654.6311,88.4226,56.7219,5327171.944
Z001E0176,1,671.6929,99.5314,68.4619,11717544.19
Z001E0177,1,715.3369,90.8348,61.5866,7520366.628
Z001E0178,1,687.8718,92.736,66.5173,10384791.46
Z001E0180,1,626.9156,90.6093,62.8028,8162558.416
Z001E0181,1,730.0384,113.7876,65.7581,9897092.774
Z001E0182,1,840.4391,85.6576,75.205,17369666.88
Z001E0183,1,683.656,100.5196,68.727,11908848.32
Z001E0184,1,773.6966,99.5531,65.4548,9707212.585
Z001E0185,1,753.3512,87.3528,63.7767,8706231.946
Z001E0186,1,754.7518,87.8833,69.43,12427677.12
Z001E0187,1,574.6389,111.5671,64.2864,9001530.603
Z001E0188,1,719.1016,93.9609,64.6044,9189590.066
Z001E0189,1,622.1993,102.1309,59.5156,6516139.548
Z001E0190,1,598.6342,118.5193,66.9855,10694543.07
Z001E0191,1,720.6804,90.1013,70.4139,13182502.59
Z001E0192,1,708.1495,82.8892,63.7535,8692968.717
Z001E0193,1,608.3842,95.4078,68.3262,11620529.1
Z001E0194,1,592.5042,86.9208,58.1859,5927488.356
Z001E0195,1,771.8565,98.6216,55.1065,4719729.11
Z001E0196,1,772.3623,96.3158,65.6953,9857546.869
Z001E0197,1,774.9881,89.9104,65.9166,9997439.293
